emotion,peak_layer,base_condition,slope,intercept,linearity_r2,start_margin,end_margin,contrast_label
anger,9,affirmed_prefix,-4.491103546960015e-05,-0.0004431903362274171,0.28664535801682045,-0.00012624263763427734,-0.0003955066204071045,neutral
fear,9,affirmed_prefix,-0.00015040167740413128,5.7586601802280996e-05,0.871803452454601,0.0006233453750610352,-0.00022584199905395508,neutral
joy,11,affirmed_prefix,0.0003654733300209047,0.00029691202299935484,0.9361421720182515,-0.0004699528217315674,0.0014206171035766602,sadness
sadness,9,affirmed_prefix,0.00031173442091260645,-0.00014146736689976292,0.9634943893207418,-0.0009545683860778809,0.0006700754165649414,joy
